segment,exposure_at_risk,rm_note,default,loan_vintage_month,borrower_id,pd_score,split,band
Retail Personal,40316.83,Client mentioned cash flow stress and requested a payment holiday.,0,9,48,31.38093202223172,train,Elevated
Retail Personal,20721.0,Repeated bounced auto-debit on the linked account this cycle.,0,7,49,31.38093202223172,train,Elevated
Retail Personal,24390.0,Standard KYC refresh completed this month.,0,5,50,24.342105263157894,train,Watch
SME,156358.67,Client mentioned cash flow stress and requested a payment holiday.,1,7,51,96.7948717948718,train,High
Agri,64404.17,Standard KYC refresh completed this month.,0,1,52,8.99581589958159,train,Watch
Consumer Durable,87919.0,Borrower reports 1 consecutive late payments this quarter.,0,2,53,31.38093202223172,train,Elevated
Credit Card,125699.83,Borrower confirmed employment status unchanged.,0,8,54,0.0,train,Watch
Retail Personal,22888.0,Standard KYC refresh completed this month.,0,6,55,32.454923717059636,train,Elevated
Retail Personal,39234.33,"RM notes new stable income source, salary credit regularized.",0,6,56,12.5,train,Watch
Credit Card,33864.33,"Routine review call completed, no material change flagged.",1,9,57,31.38093202223172,train,Elevated
SME,72000.0,Client mentioned cash flow stress and requested a payment holiday.,1,1,58,40.9967845659164,train,Elevated
Consumer Durable,41927.67,"Routine review call completed, no material change flagged.",1,3,59,7.322654462242566,train,Watch
Retail Personal,44583.17,"Routine review call completed, no material change flagged.",0,5,60,8.99581589958159,train,Watch
Retail Personal,159168.83,Standard KYC refresh completed this month.,0,5,61,2.6530612244897958,train,Watch
SME,108585.0,Borrower confirmed employment status unchanged.,1,7,62,40.44526901669759,train,Elevated
Retail Personal,76755.67,"RM flags declining GST turnover, down 38% over two quarters.",0,5,63,2.6530612244897958,train,Watch
Credit Card,16218.17,Repeated bounced auto-debit on the linked account this cycle.,0,7,64,68.6046511627907,train,High
Credit Card,203694.5,RM notes irregular business income and rising informal borrowing.,1,3,65,96.7948717948718,train,High
SME,86560.0,RM notes irregular business income and rising informal borrowing.,0,2,66,7.322654462242566,train,Watch
Credit Card,30592.5,"Routine review call completed, no material change flagged.",0,8,67,0.9485094850948509,train,Watch
Credit Card,48693.67,"RM flags declining GST turnover, down 35% over two quarters.",0,3,68,19.600499375780274,train,Watch
Retail Personal,50973.17,Standard KYC refresh completed this month.,0,1,69,8.99581589958159,train,Watch
Credit Card,86119.33,"Routine review call completed, no material change flagged.",0,1,70,5.764966740576496,train,Watch
SME,117743.33,Borrower reports steady GST turnover growth of 18% this quarter.,0,5,71,0.1779359430604982,train,Watch
Retail Personal,124901.83,Borrower confirmed employment status unchanged.,0,3,72,0.9485094850948509,train,Watch
SME,21536.17,Borrower reports 1 consecutive late payments this quarter.,1,6,73,32.454923717059636,train,Elevated
Agri,44279.83,"Routine review call completed, no material change flagged.",0,6,74,0.9950248756218906,train,Watch
SME,136100.33,"Business expansion noted, turnover trending up.",0,2,75,0.0,train,Watch
SME,604169.17,"Routine review call completed, no material change flagged.",0,2,76,13.0859375,train,Watch
SME,49227.67,"Routine review call completed, no material change flagged.",1,4,77,26.948051948051948,train,Watch
Consumer Durable,26351.5,Borrower confirmed employment status unchanged.,0,8,78,8.99581589958159,train,Watch
Credit Card,26977.5,Standard KYC refresh completed this month.,0,3,79,4.29769392033543,train,Watch
SME,106831.17,Standard KYC refresh completed this month.,0,1,80,2.6530612244897958,train,Watch
Retail Personal,152489.67,Borrower reports 1 consecutive late payments this quarter.,0,4,81,2.6530612244897958,train,Watch
Agri,108000.0,RM notes irregular business income and rising informal borrowing.,0,4,82,31.38093202223172,train,Elevated
Retail Personal,30523.17,Borrower confirmed employment status unchanged.,0,3,83,32.454923717059636,train,Elevated
Credit Card,85864.33,"Routine review call completed, no material change flagged.",0,5,84,1.1142061281337048,train,Watch
Retail Personal,34851.67,"Routine review call completed, no material change flagged.",0,4,85,7.322654462242566,train,Watch
Consumer Durable,28610.0,Borrower reports 3 consecutive late payments this quarter.,1,3,86,68.6046511627907,train,High
SME,73242.67,Standard KYC refresh completed this month.,0,8,87,3.5175879396984926,train,Watch
Consumer Durable,40503.67,Client mentioned cash flow stress and requested a payment holiday.,1,9,88,68.66666666666667,train,High
SME,131971.33,"Routine review call completed, no material change flagged.",0,6,89,0.0,train,Watch
Retail Personal,33000.0,Repeated bounced auto-debit on the linked account this cycle.,0,7,90,40.44526901669759,train,Elevated
SME,364089.67,Borrower reports 1 consecutive late payments this quarter.,1,7,91,68.66666666666667,train,High
Retail Personal,24683.33,Borrower confirmed employment status unchanged.,0,8,92,26.948051948051948,train,Watch
Credit Card,6000.0,Borrower reports 1 consecutive late payments this quarter.,0,7,93,40.9967845659164,train,Elevated
Consumer Durable,162947.5,"Routine review call completed, no material change flagged.",0,2,94,0.9485094850948509,train,Watch
Retail Personal,165480.33,Standard KYC refresh completed this month.,1,8,95,19.600499375780274,train,Watch
Retail Personal,20091.33,"Routine review call completed, no material change flagged.",1,3,96,31.38093202223172,train,Elevated
Credit Card,62020.83,Borrower reports 3 consecutive late payments this quarter.,0,9,97,65.625,train,Elevated
Retail Personal,14462.67,Client mentioned cash flow stress and requested a payment holiday.,0,1,98,3.5175879396984926,train,Watch
Agri,73879.83,Client mentioned cash flow stress and requested a payment holiday.,0,1,99,31.38093202223172,train,Elevated
SME,350985.17,Standard KYC refresh completed this month.,0,8,100,0.5107252298263534,train,Watch
Credit Card,29580.33,Borrower confirmed employment status unchanged.,0,7,101,31.38093202223172,train,Elevated
Retail Personal,84951.33,Borrower reports 3 consecutive late payments this quarter.,0,3,102,40.44526901669759,train,Elevated
Agri,68471.5,"Routine review call completed, no material change flagged.",0,4,103,1.1142061281337048,train,Watch
SME,70209.33,"Routine review call completed, no material change flagged.",0,6,104,2.922374429223744,train,Watch
Credit Card,16155.33,"RM flags declining GST turnover, down 35% over two quarters.",1,3,105,32.454923717059636,train,Elevated
SME,72000.0,Repeated bounced auto-debit on the linked account this cycle.,1,6,106,40.9967845659164,train,Elevated
Consumer Durable,31581.17,RM notes irregular business income and rising informal borrowing.,0,2,107,38.450704225352105,train,Elevated
Consumer Durable,62331.33,Standard KYC refresh completed this month.,0,6,108,0.0,train,Watch
Retail Personal,23030.67,Standard KYC refresh completed this month.,0,4,109,32.454923717059636,train,Elevated
Credit Card,34325.0,Borrower reports 4 consecutive late payments this quarter.,0,8,110,63.33333333333333,train,Elevated
Retail Personal,81506.33,Client mentioned cash flow stress and requested a payment holiday.,0,1,111,31.38093202223172,train,Elevated
SME,66754.67,Standard KYC refresh completed this month.,0,6,112,0.5107252298263534,train,Watch
Credit Card,105790.67,Borrower reports 1 consecutive late payments this quarter.,0,8,113,31.38093202223172,train,Elevated
SME,245936.83,Borrower confirmed employment status unchanged.,0,9,114,2.6530612244897958,train,Watch
Retail Personal,20678.67,Borrower confirmed employment status unchanged.,0,6,115,17.177914110429448,train,Watch
SME,79163.33,Borrower confirmed employment status unchanged.,0,2,116,1.1142061281337048,train,Watch
Consumer Durable,155901.17,Standard KYC refresh completed this month.,0,8,117,0.5107252298263534,train,Watch
SME,229693.33,Borrower confirmed employment status unchanged.,0,8,118,4.29769392033543,train,Watch
SME,197241.83,Borrower reports 6 consecutive late payments this quarter.,1,2,119,88.96103896103897,train,High
Credit Card,28314.0,Client mentioned cash flow stress and requested a payment holiday.,0,3,120,73.95833333333334,train,High
Retail Personal,36099.33,Client mentioned cash flow stress and requested a payment holiday.,0,3,121,68.66666666666667,train,High
Consumer Durable,15566.0,"Routine review call completed, no material change flagged.",0,5,122,38.450704225352105,train,Elevated
Consumer Durable,87606.17,Standard KYC refresh completed this month.,0,7,123,4.29769392033543,train,Watch
Retail Personal,228157.0,"Routine review call completed, no material change flagged.",0,8,124,4.29769392033543,train,Watch
Credit Card,43050.67,Borrower confirmed employment status unchanged.,0,2,125,13.0859375,train,Watch
Consumer Durable,81681.5,"Routine review call completed, no material change flagged.",0,2,126,31.38093202223172,train,Elevated
Retail Personal,105825.17,Borrower confirmed employment status unchanged.,0,3,127,31.38093202223172,train,Elevated
Consumer Durable,111034.83,"Routine review call completed, no material change flagged.",0,6,128,0.0,train,Watch
SME,91963.33,Standard KYC refresh completed this month.,0,6,129,1.1142061281337048,train,Watch
Retail Personal,23964.5,"RM notes new stable income source, salary credit regularized.",0,6,130,2.922374429223744,train,Watch
Consumer Durable,108012.83,Client mentioned cash flow stress and requested a payment holiday.,0,2,131,31.38093202223172,train,Elevated
Credit Card,26604.0,Borrower reports steady GST turnover growth of 8% this quarter.,0,3,132,8.99581589958159,train,Watch
Consumer Durable,19985.67,"Routine review call completed, no material change flagged.",0,6,133,19.600499375780274,train,Watch
Agri,91710.17,Borrower confirmed employment status unchanged.,0,2,134,8.99581589958159,train,Watch
SME,45581.17,Borrower confirmed employment status unchanged.,0,5,135,2.6530612244897958,train,Watch
SME,246540.5,"Routine review call completed, no material change flagged.",0,3,136,0.0,train,Watch
Retail Personal,55073.83,Standard KYC refresh completed this month.,1,7,137,31.38093202223172,train,Elevated
Credit Card,14484.0,"RM flags declining GST turnover, down 31% over two quarters.",0,1,138,13.0859375,train,Watch
Consumer Durable,45391.83,Borrower reports 3 consecutive late payments this quarter.,1,5,139,43.34975369458128,train,Elevated
SME,135257.67,Borrower reports 1 consecutive late payments this quarter.,0,7,140,2.6530612244897958,train,Watch
Retail Personal,257097.0,"RM flags declining GST turnover, down 37% over two quarters.",1,6,141,83.92857142857143,train,High
Retail Personal,26965.33,RM notes irregular business income and rising informal borrowing.,0,8,142,60.83333333333333,train,Elevated
Retail Personal,39669.67,Repeated bounced auto-debit on the linked account this cycle.,1,7,143,77.57575757575758,train,High
Retail Personal,61642.33,Client cleared prior dues ahead of schedule.,0,5,144,2.922374429223744,train,Watch
SME,65373.17,Client mentioned cash flow stress and requested a payment holiday.,0,4,145,38.450704225352105,train,Elevated
Retail Personal,29145.0,Repeated bounced auto-debit on the linked account this cycle.,0,9,146,19.600499375780274,train,Watch
Consumer Durable,23251.83,Borrower confirmed employment status unchanged.,0,3,147,22.905027932960895,train,Watch
Consumer Durable,151076.17,Client cleared prior dues ahead of schedule.,0,6,148,2.6530612244897958,train,Watch
Retail Personal,28642.33,RM notes irregular business income and rising informal borrowing.,1,8,149,65.625,train,Elevated
Agri,63812.0,"Routine review call completed, no material change flagged.",0,4,150,26.948051948051948,train,Watch
Retail Personal,308463.17,Standard KYC refresh completed this month.,0,3,151,0.9950248756218906,train,Watch
Retail Personal,22490.17,"RM notes new stable income source, salary credit regularized.",0,4,152,17.647058823529413,train,Watch
Retail Personal,30505.5,"Routine review call completed, no material change flagged.",0,6,153,26.948051948051948,train,Watch
SME,102243.67,Client mentioned cash flow stress and requested a payment holiday.,0,2,154,2.6530612244897958,train,Watch
SME,135996.5,"RM flags declining GST turnover, down 29% over two quarters.",0,3,155,2.6530612244897958,train,Watch
SME,63397.33,"RM flags declining GST turnover, down 17% over two quarters.",1,5,156,32.454923717059636,train,Elevated
Retail Personal,47990.83,"Routine review call completed, no material change flagged.",0,1,157,19.600499375780274,train,Watch
Consumer Durable,26267.17,Borrower confirmed employment status unchanged.,0,7,158,31.38093202223172,train,Elevated
SME,474803.0,Repeated bounced auto-debit on the linked account this cycle.,0,4,159,65.625,train,Elevated
Credit Card,9585.0,"Routine review call completed, no material change flagged.",0,5,160,32.454923717059636,train,Elevated
Credit Card,72000.0,Client mentioned cash flow stress and requested a payment holiday.,1,1,161,40.44526901669759,train,Elevated
Retail Personal,102468.17,"RM flags declining GST turnover, down 19% over two quarters.",0,3,162,65.625,train,Elevated
Agri,108641.17,"Routine review call completed, no material change flagged.",0,2,163,2.6530612244897958,train,Watch
SME,94015.33,Borrower reports 1 consecutive late payments this quarter.,0,3,164,7.322654462242566,train,Watch
SME,222260.83,Client mentioned cash flow stress and requested a payment holiday.,1,6,165,90.32258064516128,train,High
SME,433236.33,Standard KYC refresh completed this month.,0,3,166,19.600499375780274,train,Watch
Agri,168878.0,Borrower confirmed employment status unchanged.,0,6,167,0.1779359430604982,train,Watch
Retail Personal,55661.33,RM notes irregular business income and rising informal borrowing.,1,3,168,68.6046511627907,train,High
Agri,179683.67,Borrower confirmed employment status unchanged.,0,8,169,2.6530612244897958,train,Watch
Credit Card,24076.83,Borrower confirmed employment status unchanged.,0,6,170,31.38093202223172,train,Elevated
Retail Personal,16652.0,Client mentioned cash flow stress and requested a payment holiday.,0,5,171,38.450704225352105,train,Elevated
Retail Personal,37155.0,Borrower confirmed employment status unchanged.,0,6,172,4.29769392033543,train,Watch
Retail Personal,21776.0,Borrower reports 3 consecutive late payments this quarter.,1,6,173,60.83333333333333,train,Elevated
SME,195009.67,RM notes irregular business income and rising informal borrowing.,1,9,174,85.60606060606061,train,High
SME,47299.0,Standard KYC refresh completed this month.,0,7,175,17.177914110429448,train,Watch
Consumer Durable,30975.33,Borrower confirmed employment status unchanged.,0,5,176,0.9485094850948509,train,Watch
Consumer Durable,111630.0,Standard KYC refresh completed this month.,0,1,177,0.9485094850948509,train,Watch
Retail Personal,290871.17,Standard KYC refresh completed this month.,1,2,178,26.755852842809364,train,Watch
Retail Personal,61309.0,Borrower confirmed employment status unchanged.,1,9,179,3.5175879396984926,train,Watch
Consumer Durable,25406.0,Repeated bounced auto-debit on the linked account this cycle.,0,7,180,40.9967845659164,train,Elevated
Credit Card,55207.33,Borrower confirmed employment status unchanged.,0,9,181,26.948051948051948,train,Watch
Consumer Durable,56439.0,Borrower confirmed employment status unchanged.,0,3,182,32.454923717059636,train,Elevated
Credit Card,9102.17,Borrower reports 4 consecutive late payments this quarter.,0,2,183,41.544117647058826,train,Elevated
Consumer Durable,19314.83,"RM flags declining GST turnover, down 39% over two quarters.",0,5,184,24.342105263157894,train,Watch
SME,85569.5,"RM flags declining GST turnover, down 29% over two quarters.",0,7,185,2.922374429223744,train,Watch
Credit Card,62749.67,Borrower confirmed employment status unchanged.,0,1,186,2.6530612244897958,train,Watch
Retail Personal,34645.17,Borrower confirmed employment status unchanged.,0,8,187,17.177914110429448,train,Watch
Consumer Durable,31526.67,"Routine review call completed, no material change flagged.",0,4,188,5.764966740576496,train,Watch
Credit Card,104231.83,Borrower confirmed employment status unchanged.,0,5,189,0.9485094850948509,train,Watch
Consumer Durable,125671.67,Borrower confirmed employment status unchanged.,0,2,190,2.6530612244897958,train,Watch
SME,46515.83,Repeated bounced auto-debit on the linked account this cycle.,0,1,191,8.99581589958159,train,Watch
Retail Personal,61701.17,Standard KYC refresh completed this month.,0,9,192,0.9950248756218906,train,Watch
Retail Personal,40361.67,"RM flags declining GST turnover, down 33% over two quarters.",0,3,193,26.755852842809364,train,Watch
SME,254240.0,"RM flags declining GST turnover, down 39% over two quarters.",1,9,194,63.33333333333333,train,Elevated
Credit Card,238535.17,"Routine review call completed, no material change flagged.",0,4,195,0.0,train,Watch
Consumer Durable,48700.17,Standard KYC refresh completed this month.,0,1,196,5.764966740576496,train,Watch
Credit Card,77955.83,Standard KYC refresh completed this month.,0,5,197,0.0,train,Watch
SME,29842.33,Standard KYC refresh completed this month.,0,8,198,0.5107252298263534,train,Watch
Retail Personal,46184.0,Borrower confirmed employment status unchanged.,0,1,199,31.38093202223172,train,Elevated
Retail Personal,98630.17,"Routine review call completed, no material change flagged.",1,8,200,2.922374429223744,train,Watch
Retail Personal,46662.5,Standard KYC refresh completed this month.,0,6,201,24.342105263157894,train,Watch
Retail Personal,60034.83,Standard KYC refresh completed this month.,0,5,202,1.1142061281337048,train,Watch
Retail Personal,36735.67,Standard KYC refresh completed this month.,0,4,203,38.450704225352105,train,Elevated
Retail Personal,78000.0,"RM flags declining GST turnover, down 40% over two quarters.",1,4,204,41.544117647058826,train,Elevated
SME,73478.5,"Routine review call completed, no material change flagged.",0,8,205,2.6530612244897958,train,Watch
SME,108000.0,"Routine review call completed, no material change flagged.",1,6,206,22.905027932960895,train,Watch
Credit Card,65292.17,Standard KYC refresh completed this month.,0,7,207,2.922374429223744,train,Watch
Credit Card,15456.0,Standard KYC refresh completed this month.,0,8,208,19.600499375780274,train,Watch
Consumer Durable,50298.5,"Routine review call completed, no material change flagged.",0,9,209,17.177914110429448,train,Watch
Agri,175668.5,Standard KYC refresh completed this month.,0,8,210,0.0,train,Watch
Credit Card,162099.0,Borrower reports 1 consecutive late payments this quarter.,0,9,211,1.1142061281337048,train,Watch
Retail Personal,83863.67,Standard KYC refresh completed this month.,0,8,212,0.9950248756218906,train,Watch
SME,180252.83,Borrower confirmed employment status unchanged.,0,1,213,0.9950248756218906,train,Watch
Retail Personal,122828.33,Repeated bounced auto-debit on the linked account this cycle.,0,3,214,40.9967845659164,train,Elevated
SME,270029.83,Standard KYC refresh completed this month.,0,9,215,0.0,train,Watch
Credit Card,97273.0,Borrower reports 1 consecutive late payments this quarter.,1,8,216,68.66666666666667,train,High
Credit Card,81349.5,Borrower confirmed employment status unchanged.,0,8,217,2.922374429223744,train,Watch
Agri,84000.0,"Routine review call completed, no material change flagged.",1,6,218,29.166666666666668,train,Watch
Retail Personal,15000.0,Repeated bounced auto-debit on the linked account this cycle.,1,6,219,40.44526901669759,train,Elevated
Consumer Durable,11162.0,Client mentioned cash flow stress and requested a payment holiday.,0,2,220,96.7948717948718,train,High
Retail Personal,12474.67,Borrower confirmed employment status unchanged.,1,3,221,40.9967845659164,train,Elevated
SME,39000.0,Repeated bounced auto-debit on the linked account this cycle.,0,1,222,38.450704225352105,train,Elevated
SME,206074.67,Borrower confirmed employment status unchanged.,0,2,223,2.6530612244897958,train,Watch
SME,97566.67,"RM flags declining GST turnover, down 24% over two quarters.",1,9,224,41.544117647058826,train,Elevated
Consumer Durable,107141.83,Standard KYC refresh completed this month.,0,4,225,3.5175879396984926,train,Watch
Credit Card,132000.0,Borrower confirmed employment status unchanged.,0,2,226,13.0859375,train,Watch
Credit Card,40716.83,"Routine review call completed, no material change flagged.",0,8,227,19.600499375780274,train,Watch
Credit Card,22407.83,Borrower confirmed employment status unchanged.,1,1,228,38.450704225352105,train,Elevated
Agri,63039.33,"RM notes new stable income source, salary credit regularized.",0,2,229,13.0859375,train,Watch
Consumer Durable,35143.33,Standard KYC refresh completed this month.,0,2,230,2.922374429223744,train,Watch
SME,157921.5,Borrower confirmed employment status unchanged.,0,2,231,0.1779359430604982,train,Watch
SME,90869.17,Borrower reports 1 consecutive late payments this quarter.,0,1,232,31.38093202223172,train,Elevated
Retail Personal,21143.83,"RM flags declining GST turnover, down 15% over two quarters.",1,5,233,88.96103896103897,train,High
SME,123525.5,"Routine review call completed, no material change flagged.",0,4,234,0.9950248756218906,train,Watch
Credit Card,191944.33,"Routine review call completed, no material change flagged.",0,3,235,1.1142061281337048,train,Watch
Consumer Durable,115507.83,Client mentioned cash flow stress and requested a payment holiday.,1,6,236,40.9967845659164,train,Elevated
Credit Card,62417.17,"Routine review call completed, no material change flagged.",0,1,237,2.922374429223744,train,Watch
Retail Personal,46588.67,Standard KYC refresh completed this month.,1,8,238,19.600499375780274,train,Watch
Credit Card,83636.17,"Routine review call completed, no material change flagged.",0,7,239,0.5107252298263534,train,Watch
SME,78337.5,RM notes irregular business income and rising informal borrowing.,0,6,240,32.454923717059636,train,Elevated
Agri,54000.0,Repeated bounced auto-debit on the linked account this cycle.,0,9,241,40.44526901669759,train,Elevated
Agri,84891.0,Repeated bounced auto-debit on the linked account this cycle.,1,1,242,41.544117647058826,train,Elevated
SME,255856.17,Borrower confirmed employment status unchanged.,0,5,243,0.0,train,Watch
Retail Personal,20275.0,Client cleared prior dues ahead of schedule.,0,7,244,8.99581589958159,train,Watch
SME,78221.17,"RM flags declining GST turnover, down 27% over two quarters.",1,8,245,13.0859375,train,Watch
Agri,203901.5,Standard KYC refresh completed this month.,0,5,246,0.0,train,Watch
SME,89783.17,Client mentioned cash flow stress and requested a payment holiday.,0,6,247,26.948051948051948,train,Watch
SME,66562.5,RM notes irregular business income and rising informal borrowing.,1,3,248,43.34975369458128,train,Elevated
Credit Card,46347.0,Client mentioned cash flow stress and requested a payment holiday.,1,8,249,100.0,train,High
SME,124927.67,"Routine review call completed, no material change flagged.",0,3,250,0.0,train,Watch
Credit Card,149009.17,RM notes irregular business income and rising informal borrowing.,0,6,251,85.60606060606061,train,High
Consumer Durable,34044.33,Borrower reports 2 consecutive late payments this quarter.,0,6,252,32.454923717059636,train,Elevated
Agri,133331.33,RM notes irregular business income and rising informal borrowing.,0,3,253,7.322654462242566,train,Watch
Retail Personal,25457.83,Standard KYC refresh completed this month.,0,1,254,19.600499375780274,train,Watch
Retail Personal,236850.0,Borrower confirmed employment status unchanged.,0,5,255,0.5107252298263534,train,Watch
SME,42065.0,Standard KYC refresh completed this month.,0,3,256,2.922374429223744,train,Watch
Agri,38831.0,Standard KYC refresh completed this month.,0,6,257,0.9950248756218906,train,Watch
Credit Card,72061.33,"Routine review call completed, no material change flagged.",0,9,258,1.1142061281337048,train,Watch
SME,18141.17,Standard KYC refresh completed this month.,0,1,259,31.38093202223172,train,Elevated
Consumer Durable,207467.0,Borrower reports 1 consecutive late payments this quarter.,0,4,260,2.922374429223744,train,Watch
SME,49638.67,"Business expansion noted, turnover trending up.",0,4,261,4.29769392033543,train,Watch
SME,33203.83,"Business expansion noted, turnover trending up.",0,3,262,8.99581589958159,train,Watch
Retail Personal,60576.5,"Routine review call completed, no material change flagged.",1,5,263,26.755852842809364,train,Watch
Consumer Durable,181987.33,Standard KYC refresh completed this month.,0,1,264,1.1142061281337048,train,Watch
Retail Personal,28648.33,Borrower confirmed employment status unchanged.,1,7,265,26.948051948051948,train,Watch
Credit Card,41430.33,Client mentioned cash flow stress and requested a payment holiday.,0,6,266,2.922374429223744,train,Watch
Credit Card,60000.0,RM notes irregular business income and rising informal borrowing.,0,1,267,3.5175879396984926,train,Watch
SME,114000.0,RM notes irregular business income and rising informal borrowing.,1,6,268,40.44526901669759,train,Elevated
Credit Card,74525.33,Standard KYC refresh completed this month.,0,7,269,4.29769392033543,train,Watch
Credit Card,33202.67,RM notes irregular business income and rising informal borrowing.,0,7,270,68.66666666666667,train,High
Consumer Durable,83546.33,Client cleared prior dues ahead of schedule.,1,1,271,26.948051948051948,train,Watch
SME,192823.33,"Routine review call completed, no material change flagged.",0,9,272,0.5107252298263534,train,Watch
SME,294426.83,Borrower confirmed employment status unchanged.,0,4,273,0.0,train,Watch
Consumer Durable,114276.0,Borrower confirmed employment status unchanged.,0,4,274,0.5107252298263534,train,Watch
Credit Card,168719.67,Standard KYC refresh completed this month.,0,2,275,0.0,train,Watch
Retail Personal,56476.5,RM notes irregular business income and rising informal borrowing.,0,6,276,60.83333333333333,train,Elevated
Retail Personal,33749.67,RM notes irregular business income and rising informal borrowing.,1,4,277,40.9967845659164,train,Elevated
SME,69552.33,Standard KYC refresh completed this month.,0,9,278,2.922374429223744,train,Watch
SME,101606.67,Client mentioned cash flow stress and requested a payment holiday.,0,8,279,31.38093202223172,train,Elevated
Credit Card,51383.67,Standard KYC refresh completed this month.,0,5,280,5.764966740576496,train,Watch
Credit Card,5458.67,RM notes irregular business income and rising informal borrowing.,0,9,281,43.34975369458128,train,Elevated
